Anzsic,Anzsic_descriptor,Gas,Period,Data_value,Variable,Units,Magnitude
BB1,Mining,Carbon dioxide equivalents,2018.12,307,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2019.03,315,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2019.06,337,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2019.09,339,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2019.12,328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2020.03,307,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2020.06,256,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2020.09,280,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2020.12,271,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2021.03,276,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2021.06,273,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2021.09,266,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2021.12,271,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2022.03,304,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2022.06,331,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2022.09,315,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2022.12,327,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2023.03,302,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2023.06,309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2023.09,297,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2023.12,324,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2024.03,329,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2024.06,305,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2024.09,316,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2024.12,306,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2010.03,2510,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2010.06,2654,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2010.09,2505,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2010.12,2427,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2011.03,2519,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2011.06,2439,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2011.09,2409,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2011.12,2451,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2012.03,2446,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2012.06,2516,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2012.09,2595,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2012.12,2624,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2013.03,2535,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2013.06,2843,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2013.09,2760,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2013.12,2725,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2014.03,2775,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2014.06,2903,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2014.09,3032,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2014.12,3106,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2015.03,3024,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2015.06,2940,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2015.09,2931,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2015.12,2918,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2016.03,2940,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2016.06,2897,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2016.09,2952,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2016.12,2598,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2017.03,2907,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2017.06,2877,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2017.09,2727,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2017.12,2835,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2018.03,2690,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2018.06,2779,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2018.09,2951,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2018.12,2799,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2019.03,2929,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2019.06,2852,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2019.09,2848,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2019.12,2875,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2020.03,2592,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2020.06,2539,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2020.09,2599,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2020.12,2628,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2021.03,2573,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
